Model,ASIN,Available in BF/CM Sheet,Link,Model Name,9/12/2022,9/13/2022,9/14/2022,9/15/2022
 ,B09CLM44TM,Available,www.amazon.com/dp/B09CLM44TM,Allevered Therapy Belt,$10.00,$10.00,$10.00,$10.00
LP-ALVRD-BLK,B09CLM44TM,Available,www.amazon.com/dp/B09CLM44TM,AllevaRed Light Therapy Belt Black (old),$10.00,$10.00,$10.00,$10.00
LP-SWFT-BLK,B08SMM8XCJ,Available,www.amazon.com/dp/B08SMM8XCJ,Swift Treadmill ,$25.00,$25.00,$25.00,$25.00
LP-VBRCAR-BLU,B08MB38PGC,Available,www.amazon.com/dp/B08MB38PGC,VibraCare Foot Massager ,7 days,7 days,7 days,7 days
LP-DYNM-BLK,B088D8QY1N,Available,www.amazon.com/dp/B088D8QY1N,DynaMini Portable Percussion Muscle Massager Gun Black,$25.00,$25.00,$25.00,$25.00
LP-HVT-BLK,B07ZN7PLK6,,www.amazon.com/dp/B07ZN7PLK6,Hovert 3D Vibration Plate Black,$60.00,$60.00,$60.00,$60.00
LP-HVT-BLU,B07RLNHPZ9,Available,www.amazon.com/dp/B07RLNHPZ9,Hovert 3D Vibration Plate Blue,$60.00,$60.00,$60.00,$60.00
LP-PWRFLW2N-BLK,B09PHTGZ2H,Available,www.amazon.com/dp/B09PHTGZ2H,PowerFlow 2 pcs NEW,OOS,OOS,OOS,OOS
LP-PWRUP-BLK,B08J2L498P,Available,www.amazon.com/dp/B08J2L498P,PowerUp Dumbbells Black,$30.00,$30.00,$30.00,$30.00
LP-SNCM1-BLK,B08SWLH4MB,Available,www.amazon.com/dp/B08SWLH4MB,Sonic M1 Massage Gun Black,$30.00,$30.00,$30.00,$30.00
LP-SNCPRO-BLU,B08K1C4KP1,Available,www.amazon.com/dp/B08K1C4KP1,LifePro Sonic Pro Percussion Massage Gun - Blue,$30.00,$30.00,$30.00,$30.00
LP-SRG-BLK,B07BNRKXZ6,Available,www.amazon.com/dp/B07BNRKXZ6,Surger 4-Speed Vibrating Foam Roller Black,$25.00,$25.00,$25.00,$25.00
LP-TRB-BLU,B07M62BNQL,Available,www.amazon.com/dp/B07M62BNQL,Turbo 3D Vibration Plate Blue,$40.00,$40.00,$40.00,$40.00
LP-INFTBX-BLK,B093TR8SLC,Available,www.amazon.com/dp/B093TR8SLC,InfinityBox Workout Set,$30.00,$30.00,$30.00,$30.00
