Model,ASIN,Available in BF/CM Sheet,Link,Model Name,9/12/2022,9/13/2022,9/14/2022,9/15/2022
LP-FSNFX-BLU,B07VTBRX97,,www.amazon.com/dp/B07VTBRX97,Fusion FX Heated Percussion Massage Gun Blue,OOS,OOS,OOS,OOS
LP-FSNX-BLK,B082BGJJSN,,www.amazon.com/dp/B082BGJJSN,FusionX Heated Massage Gun Black,OOS,OOS,OOS,OOS
LP-PWRFLWPLS1B-BLK, B09YPXXZG6,,www.amazon.com/dp/ B09YPXXZG6,LP-PWRFLWPLS1B-BLK,,,,
LP-RLXTX-BLU,B09JPG958V,,www.amazon.com/dp/B09JPG958V,RelaxaTilt X Foot Massager Blue ,OOS,OOS,OOS,OOS
LP-RLXVB-GRY,B08YM2DFFL,Available,www.amazon.com/dp/B08YM2DFFL,RelaxaVibe Vibration Platform Gray,OOS,OOS,OOS,OOS
LP-SNCM-BLU,B07Y5K9ZXZ,,www.amazon.com/dp/B07Y5K9ZXZ,Sonic Mini Quiet Massage Gun Blue,OOS,OOS,OOS,OOS
LP-SNCM-RED,B07Y5MP84F,,www.amazon.com/dp/B07Y5MP84F,Sonic Mini Quiet Massage Gun Red,OOS,OOS,OOS,OOS
LP-SRGPLS-BLK,B08SLYW41Z,,www.amazon.com/dp/B08SLYW41Z,Surger Plus Vibrating Roller,OOS,OOS,OOS,OOS
LP-SRGRP-BLK,B08QMNDHW2,,www.amazon.com/dp/B08QMNDHW2,Surger Pro Vibrating Foam Roller Black,OOS,OOS,OOS,OOS
LP-SRNT-BLU,B08FHR8DYV,,www.amazon.com/dp/B08FHR8DYV,Serenity Foot Massager ,OOS,OOS,OOS,OOS
LP-VIT-BLK,B08545HWB5,,www.amazon.com/dp/B08545HWB5,Vitalize Leg Machine ,OOS,OOS,OOS,OOS
LP-VIVPRO-BLU,B084WNRJCY,,www.amazon.com/dp/B084WNRJCY,Vivid Pro Vibration Plate Blue,OOS,OOS,OOS,OOS
LP-WVRMP-BLU,B08F3DBDV4,,www.amazon.com/dp/B08F3DBDV4,Waver Mini Press Blue,OOS,OOS,OOS,OOS
LP-WVRP-BLU,B08F3G2D34,,www.amazon.com/dp/B08F3G2D34,Waver Press Blue,OOS,OOS,OOS,OOS
LP/FusionFX/Blk,B08376CTZC,,www.amazon.com/dp/B08376CTZC,Fusion FX Heated Percussion Massage Gun Black,OOS,OOS,OOS,OOS
LP/FusionX/Blu,B082WW26GP,,www.amazon.com/dp/B082WW26GP,FusionX Heated Massage Gun Blue,OOS,OOS,OOS,OOS
LP-TRMLT-BLU,B0B2D38BM8,,www.amazon.com/dp/B0B2D38BM8,TrimLite Vibration Plate Blue,NO Coupon,NO Coupon,NO Coupon,NO Coupon
LP-TRMLT-GRY,B0B2D5TSM2,,www.amazon.com/dp/B0B2D5TSM2,TrimLite Vibration Plate Gray,,,NO Coupon,NO Coupon
LP-ALVGLV-BLK,B09Y9G5QPS,,www.amazon.com/dp/B09Y9G5QPS,AllevaGlove Red Light Hand Therapy,OOS,OOS,OOS,OOS
LP-LMCRP,B0B2D8L61Z ,,www.amazon.com/dp/B0B2D8L61Z ,Lumicure Pro Black,5.00$,5.00$,5.00$,5.00$
LP-VZCRN-BLK,B09Z6Z5KGK,,www.amazon.com/dp/B09Z6Z5KGK,VizaCure Light Therapy Mask Black - New,NO Coupon,NO Coupon,NO Coupon,NO Coupon
LP-VIBPSTR,B0B8G4MPNG,Available,www.amazon.com/dp/B0B8G4MPNG,Vibration Platform Poster,5.00$,5.00$,5.00$,5.00$
LP-INFGRW-WHT,B09WY63268,,www.amazon.com/dp/B09WY63268,InfraGlow Red Light Therapy Lamp White,5.00$,5.00$,5.00$,5.00$
LP-INFGRW,B09V5PVTGF,Available,www.amazon.com/dp/B09V5PVTGF,InfraGlow Red Light Therapy Lamp Black,OOS,OOS,OOS,OOS
LP-PWRFLWPLS1B-BLK,B09FB1D2PT,,www.amazon.com/dp/B09FB1D2PT,PowerFlow Plus 1 pc - backup,OOS,OOS,OOS,OOS
LP-BRMDYR-BLK,B09Y9KK6XL ,,www.amazon.com/dp/B09Y9KK6XL ,BioRemedy Sauna Wrap Regular Black,NO Coupon,10.00$,10.00$,10.00$
LP-BRMDYR-GRY,B09Y9L7FJ8,,www.amazon.com/dp/B09Y9L7FJ8,BioRemedy Sauna Wrap Regular Gray,NO Coupon,10.00$,10.00$,10.00$
LP-BRMDYL-BLK,B09YVCP4KD  ,,www.amazon.com/dp/B09YVCP4KD  ,BioRemedy Sauna Wrap Large Black,NO Coupon,10.00$,10.00$,10.00$
LP-BRMDYL-GRY,B09YVD6B5Q,,www.amazon.com/dp/B09YVD6B5Q,BioRemedy Sauna Wrap Large Gray,NO Coupon,10.00$,10.00$,10.00$
,B09YPXXZG6,,,,,,,
